operator,financial_period,number_of_stops,on_time_percentage
,2023-24 Period 07,"327,017",81.8
,2023-24 Period 08,"325,435",75.5
,2023-24 Period 09,"313,737",73.1
,2023-24 Period 10,"295,735",78.8
,2023-24 Period 11,"315,292",79.1
,2023-24 Period 12,"306,992",83.6
,2023-24 Period 13,"316,827",83.3
,2024-25 Period 01,"316,042",82
,2024-25 Period 02,"330,939",83.1
,2024-25 Period 03,"317,433",84.5
,2024-25 Period 04,"329,692",81.8
,2024-25 Period 05,"325,803",81.8
,2024-25 Period 06,"327,991",81.9
,2024-25 Period 07,"326,053",78.9
,2024-25 Period 08,"332,404",81.5
,2024-25 Period 09,"307,882",72.9
,2024-25 Period 10,"294,705",80
,2024-25 Period 11,"300,876",73.3
,2024-25 Period 12,"295,670",71.9
,2024-25 Period 13,"352,521",77
Govia Thameslink Railway,2022-23 Period 01,"907,054",74.6
,2022-23 Period 02,"903,815",75.3
,2022-23 Period 03,"826,667",76.2
,2022-23 Period 04,"856,691",70.2
,2022-23 Period 05,"793,706",67.3
,2022-23 Period 06,"941,148",65.7
,2022-23 Period 07,"887,169",67
,2022-23 Period 08,"870,746",60.2
,2022-23 Period 09,"950,273",62.5
,2022-23 Period 10,"499,471",63.6
,2022-23 Period 11,"875,563",64.2
,2022-23 Period 12,"954,915",68.9
,2022-23 Period 13,"870,290",72.3
,2023-24 Period 01,"977,215",75.5
,2023-24 Period 02,"833,349",74.5
,2023-24 Period 03,"853,888",68.4
,2023-24 Period 04,"839,545",70.3
,2023-24 Period 05,"842,130",73
,2023-24 Period 06,"901,437",69.8
,2023-24 Period 07,"858,149",68.3
,2023-24 Period 08,"984,325",64.6
,2023-24 Period 09,"847,577",62
,2023-24 Period 10,"867,439",65.1
,2023-24 Period 11,"899,304",65.4
,2023-24 Period 12,"951,173",67.6
,2023-24 Period 13,"1,012,648",70
,2024-25 Period 01,"882,976",72.5
,2024-25 Period 02,"911,467",70.7
,2024-25 Period 03,"988,512",69.3
,2024-25 Period 04,"1,015,029",67.7
,2024-25 Period 05,"1,012,060",69.9
,2024-25 Period 06,"997,966",69.1
,2024-25 Period 07,"981,945",66.2
,2024-25 Period 08,"978,194",66.3
,2024-25 Period 09,"982,667",60.2
,2024-25 Period 10,"854,752",68.3
,2024-25 Period 11,"996,359",67.1
,2024-25 Period 12,"1,004,772",67.5
,2024-25 Period 13,"1,069,329",71.4
Grand Central,2022-23 Period 01,"3,974",54.7
,2022-23 Period 02,"3,369",52.6
,2022-23 Period 03,"3,497",47.6
,2022-23 Period 04,"3,794",49.3
,2022-23 Period 05,"3,427",42.6
,2022-23 Period 06,"3,868",51.4
,2022-23 Period 07,"3,681",50.5
,2022-23 Period 08,"3,499",42
,2022-23 Period 09,"3,751",33.4
,2022-23 Period 10,"2,006",37.6
,2022-23 Period 11,"3,363",43.1
