textbox22,textbox24,financial_period_key,national_or_operator,trains_planned,trains_part_cancelled1,trains_full_cancelled,cancellation_score__number_,nr_responsible_infrastructure,nr_responsible_external_event,toc_responsible_toc_fault,toc_responsible_external_event,percent_cancelled_periodic,percent_cancelled_periodic__maa_
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 10),England and Wales,"275,592","8,650","17,235","21,560","5,427","4,434","11,065",519,7.8,4.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 11),England and Wales,"481,248","10,732","11,643","17,009","5,132","3,593","7,689",570,3.5,4.1
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 12),England and Wales,"504,218","9,520","10,566","15,326","3,942","3,083","7,694",583,3.0,3.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 13),England and Wales,"464,661","9,072","11,246","15,782","4,106","3,170","7,935",501,3.4,3.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 01),England and Wales,"520,239","9,271","12,146","16,782","4,119","3,037","8,997",624,3.2,3.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 02),England and Wales,"478,978","9,263","9,500","14,132","3,977","2,337","7,170",637,3.0,3.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 03),England and Wales,"474,191","10,958","14,272","19,751","6,451","2,457","10,152",672,4.2,3.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 04),England and Wales,"477,896","10,049","11,940","16,965","4,928","2,199","9,006",806,3.5,3.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 05),England and Wales,"479,421","9,417","15,012","19,721","5,316","1,796","11,926",652,4.1,3.7
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 06),England and Wales,"478,034","9,173","11,731","16,318","4,103","2,523","9,122",560,3.4,3.7
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 07),England and Wales,"479,827","10,356","11,520","16,698","4,477","2,383","9,166",645,3.5,3.8
